model,group,v2_final,v2_classification,v2_segmentation,thunder_classification,thunder_segmentation_matched3,thunder_segmentation_full,hest_mean_pearson,cptac_classification_macro_ovr_auc,official_composite_index,segmentation_source
GenBio-PathFM,baseline,0.6998995654686924,0.8213365543904274,0.6099782178605401,0.827,0.643,0.682,0.4197,0.6854005441322033,115.69545882862548,completed official THUNDER evaluation
UNI-2-h,baseline,0.6943571195953897,0.8160717909150481,0.6322511570075348,0.8293333333333334,0.6556666666666667,0.693,0.4141,0.6750108075135783,113.46641314867789,completed official THUNDER evaluation
H-optimus-0,baseline,0.6833245179167329,0.8082407029139773,0.5916066286466118,0.8046666666666668,0.6083333333333333,0.652,0.415,0.6729944530361126,109.21431062906618,completed official THUNDER evaluation
H0-mini,baseline,0.680929178245653,0.7956063794945682,0.6371136003584569,0.7949999999999999,,0.691,0.4033953703703703,0.6783972388606546,,published THUNDER H0-mini
Virchow,baseline,0.6775334385676534,0.7727729853652819,0.6326117440682065,0.7733333333333333,0.6533333333333333,0.691,0.4061,0.6608690510115234,103.80812571107556,completed official THUNDER evaluation
GigaPath,baseline,0.6684751163624962,0.7947887192248467,0.6196933281542449,0.793,0.6353333333333334,0.6709999999999999,0.3875,0.6720896436159121,105.20340921790863,completed official THUNDER evaluation
Midnight-12K,baseline,0.6936675926114851,0.7760511981585001,0.6325856011186896,0.7869999999999999,0.6173333333333333,0.648,0.3952,0.6478601936500288,101.67665591964523,completed official THUNDER evaluation
OpenMidnight,baseline,0.638189317118789,0.6639906965910183,0.6306282733829073,0.6923333333333334,0.6546666666666666,0.693,0.3912,0.656054968173024,100.1417893910236,completed official THUNDER evaluation
dinov2-s-kde,nanopath,0.627344111635325,0.6922120694231465,0.5939126312713466,0.7166666666666667,0.6193333333333334,0.6559999999999999,0.3393101851851852,0.6464305223017142,86.55584215429312,completed official THUNDER evaluation
lr-and-curation,nanopath,0.6332007524901965,0.7047589917927134,0.5939777128802027,0.7193333333333334,0.6190000000000001,0.655,0.3530101851851852,0.6430488719457503,87.87894145194348,completed official THUNDER evaluation
I-JEPA contig patch,nanopath,0.6409284357001237,0.7219248917237097,0.5993439330552738,0.7336666666666667,0.6189999999999999,0.6509999999999999,0.35551666666666665,0.6555715100245976,92.60207185680723,completed official THUNDER evaluation
block-strided-cls,nanopath,0.638760133996833,0.7476867875443559,0.6038625461460637,0.7476666666666667,0.626,0.6629999999999999,0.3619805555555555,0.6496758103848396,92.19214228518639,completed official THUNDER evaluation
robust-norm,nanopath,0.6476066100946151,0.7506969171670315,0.6024262634715243,0.7536666666666667,0.6306666666666666,0.667,0.3557814814814814,0.65019781837431,91.56483940574704,completed official THUNDER evaluation
DINOv2-S/14,baseline,0.5944563414481807,0.6479586084093745,0.5664844794987484,0.6873333333333334,,0.6365480861951268,0.32361944444444446,0.6352788107033456,,completed official THUNDER evaluation
DINOv2-B/14,baseline,0.5988074612321859,0.649973505458743,0.5691018042227665,0.6893333333333334,,0.6392241178204361,0.33442870370370376,0.6433999271595039,,completed official THUNDER evaluation
DINOv2-L/14,baseline,0.6124147765893126,0.6631613164183779,0.5667262393317953,0.698,,0.6423790493519946,0.3351018518518518,0.6381604176585896,,completed official THUNDER evaluation
DINOv2-G/14,baseline,0.614904916993489,0.6804038762328801,0.575343656663121,0.7110000000000001,,0.6420542959500585,0.34254999999999997,0.643195985773503,,completed official THUNDER evaluation
Kaiko-S/16,baseline,0.6408681816127405,0.7736977504132427,0.6059980605827955,0.7836666666666666,,0.668,0.34928888888888887,0.6365736047058959,,published THUNDER KAIKO-S/16
GigaPath-Flash,baseline,0.6500320504016115,0.7741765361019938,0.5568823417560078,0.7713333333333334,,0.6202409750680233,0.3619416666666666,0.6587769460023644,,completed official THUNDER evaluation
jepa-fino,nanopath,0.646453021308445,0.7383847916764805,0.6015741590804069,0.745,0.6215107690095812,0.6572920870931018,0.3535314814814815,0.6566718147433918,,completed official THUNDER evaluation
