seed,wall_seconds,pre_croma_final_score,classification,linear,knn,simpleshot,segmentation,pannuke,segpath_epithelial,segpath_lymphocytes,progression,mutation,leopard_bcr,cptac_pda_os,survival,pre_croma_robustness_index,pre_croma_biological_balanced_accuracy,pre_croma_robustness_quality,croma_robustness,revised_final_score
0,1576.966977252625,0.524520003961623,0.3731108423587361,0.3654990630845229,0.395706480931118,0.35812698306056734,0.5067337168529784,0.4463269116927549,0.5123863616457469,0.5614878772204335,0.6748257428081988,0.5558020707274438,0.6109735197277042,0.5864276127268612,0.5987005662272826,0.19040186560448905,0.6753067925974647,0.4328543291009769,0.2762143954105106,0.47574282761474174
1,1103.4957422080915,0.5199262442808628,0.3697044654235635,0.3687965565671523,0.39018820981573205,0.35012862988780596,0.5114702276421806,0.4412222955215307,0.5186730720229753,0.5745153153820358,0.6576436883454427,0.5514731149059507,0.6182078896385064,0.5881896255933965,0.6031987576159514,0.19621775286983378,0.6703388210260928,0.4332782869479632,0.2735505668892749,0.4717129783243288
2,1123.155503854854,0.5237081838225867,0.36897978479052274,0.3674362438420455,0.39139552559318136,0.34810758493634136,0.517100366176871,0.45027620023362597,0.5197361449232552,0.5812887533737322,0.6701961131785694,0.5531016090717583,0.6024587881294572,0.6046549388468377,0.6035568634881474,0.19211416323766212,0.6684503706464275,0.4302822669420448,0.2568643837526159,0.4723049738552043
3,1114.078751965193,0.5203829362335352,0.37188884900056296,0.3655554944028457,0.3961234611658873,0.35398759143295583,0.5070380809876425,0.44678607964211153,0.5071424433967215,0.5671857199240944,0.6639199007620061,0.5500836657553075,0.596297869527638,0.5947714473776409,0.5955346584526394,0.19308532821547436,0.6730950905082549,0.4330902093618646,0.2666673279234001,0.4709860979174204
4,1121.4030564099085,0.5249800350464754,0.37387818135101025,0.37530231289565563,0.39862765286323376,0.3477045782941413,0.5201902628506571,0.45149833376192433,0.5208291027932413,0.5882433519968054,0.6687045897572214,0.5512004541855288,0.6123979841721295,0.5878862490918629,0.6001421166319962,0.1966108269136534,0.6756196341021463,0.4361152305078998,0.2764666776903175,0.476376025569192
5,1123.1523668819573,0.526050642514038,0.37150148861547283,0.36752622574567795,0.3961464168566955,0.3508318232440451,0.5159705832359917,0.4566410242231923,0.509817219792314,0.5814535056924685,0.6841366885226533,0.5529820865641761,0.6003706720582693,0.567984405758155,0.5841775389082122,0.1937874936555452,0.6738213837176568,0.433804438686601,0.2737737302650604,0.4763966425040063
6,1107.8563458460849,0.5198286388941984,0.36753449917144143,0.36997312555710477,0.38619662557552853,0.34643374638169105,0.5124394569241045,0.4479570550531369,0.5074458186972673,0.5819154970219096,0.6622733179750723,0.5437415026967266,0.6110096195115214,0.6090262501671292,0.6100179348393253,0.19226960478297156,0.6666853388272855,0.4294774718051285,0.2658954113829638,0.4702209811605887
7,1107.4137000520714,0.5174215372341822,0.369843935252431,0.37016876103977364,0.39310089501637097,0.3462621497011484,0.5080003356760776,0.4497159287198442,0.512797201087955,0.5614878772204335,0.6576436883454427,0.544312969686104,0.6021978780007448,0.5933321599812263,0.5977650189909856,0.18987749586100747,0.6686451767647504,0.429261336312879,0.26293603566840085,0.46816060361509304
8,1133.4802863111254,0.5228436763566282,0.37363506062805296,0.3693038901935021,0.39647811293295016,0.35512317875770666,0.5171752548551566,0.44830769106221857,0.5222116943801031,0.5810063791231481,0.6686012168468309,0.5499604081693635,0.6050824803374516,0.5717019365030147,0.5883922084202331,0.19360078311732976,0.6738999507267873,0.43375036692205854,0.27372286154943737,0.4743539254542224
9,1115.6269528670236,0.523177322459638,0.36611039444301263,0.3625554672131936,0.3902811389280257,0.3454945771878188,0.5120939145110275,0.4223575514472253,0.521520761285879,0.5924034307999781,0.6764206391399373,0.5491424260080976,0.6070174758179818,0.5992101467493212,0.6031138112836515,0.1922771715449892,0.6686774656083436,0.4304773185766664,0.279537164009387,0.47455629170794345
